sepal.length,sepal.width,petal.length,petal.width,variety
5.1,3.5,1.4,0.2,Setosa
4.9,3,1.4,0.2,Setosa
4.7,3.2,1.3,0.2,Setosa
4.6,3.1,1.5,0.2,Setosa
5,3.6,1.4,0.2,Setosa
5.4,3.9,1.7,0.4,Setosa
4.6,3.4,1.4,0.3,Setosa
5,3.4,1.5,0.2,Setosa
4.4,2.9,1.4,0.2,Setosa
4.9,3.1,1.5,0.1,Setosa
5.4,3.7,1.5,0.2,Setosa
4.8,3.4,1.6,0.2,Setosa
4.8,3,1.4,0.1,Setosa
4.3,3,1.1,0.1,Setosa
5.8,4,1.2,0.2,Setosa
5.7,4.4,1.5,0.4,Setosa
5.4,3.9,1.3,0.4,Setosa
5.1,3.5,1.4,0.3,Setosa
5.7,3.8,1.7,0.3,Setosa
5.1,3.8,1.5,0.3,Setosa
5.4,3.4,1.7,0.2,Setosa
5.1,3.7,1.5,0.4,Setosa
4.6,3.6,1,0.2,Setosa
5.1,3.3,1.7,0.5,Setosa
4.8,3.4,1.9,0.2,Setosa
5,3,1.6,0.2,Setosa
5,3.4,1.6,0.4,Setosa
5.2,3.5,1.5,0.2,Setosa
5.2,3.4,1.4,0.2,Setosa
4.7,3.2,1.6,0.2,Setosa
4.8,3.1,1.6,0.2,Setosa
5.4,3.4,1.5,0.4,Setosa
5.2,4.1,1.5,0.1,Setosa
5.5,4.2,1.4,0.2,Setosa
4.9,3.1,1.5,0.2,Setosa
5,3.2,1.2,0.2,Setosa
5.5,3.5,1.3,0.2,Setosa
4.9,3.6,1.4,0.1,Setosa
4.4,3,1.3,0.2,Setosa
5.1,3.4,1.5,0.2,Setosa
5,3.5,1.3,0.3,Setosa
4.5,2.3,1.3,0.3,Setosa
4.4,3.2,1.3,0.2,Setosa
5,3.5,1.6,0.6,Setosa
5.1,3.8,1.9,0.4,Setosa
4.8,3,1.4,0.3,Setosa
5.1,3.8,1.6,0.2,Setosa
4.6,3.2,1.4,0.2,Setosa
5.3,3.7,1.5,0.2,Setosa
5,3.3,1.4,0.2,Setosa
7,3.2,4.7,1.4,Versicolor
6.4,3.2,4.5,1.5,Versicolor
6.9,3.1,4.9,1.5,Versicolor
5.5,2.3,4,1.3,Versicolor
6.5,2.8,4.6,1.5,Versicolor
5.7,2.8,4.5,1.3,Versicolor
6.3,3.3,4.7,1.6,Versicolor
4.9,2.4,3.3,1,Versicolor
6.6,2.9,4.6,1.3,Versicolor
5.2,2.7,3.9,1.4,Versicolor
5,2,3.5,1,Versicolor
5.9,3,4.2,1.5,Versicolor
6,2.2,4,1,Versicolor
6.1,2.9,4.7,1.4,Versicolor
5.6,2.9,3.6,1.3,Versicolor
6.7,3.1,4.4,1.4,Versicolor
5.6,3,4.5,1.5,Versicolor
5.8,2.7,4.1,1,Versicolor
6.2,2.2,4.5,1.5,Versicolor
5.6,2.5,3.9,1.1,Versicolor
5.9,3.2,4.8,1.8,Versicolor
6.1,2.8,4,1.3,Versicolor
6.3,2.5,4.9,1.5,Versicolor
6.1,2.8,4.7,1.2,Versicolor
6.4,2.9,4.3,1.3,Versicolor
6.6,3,4.4,1.4,Versicolor
6.8,2.8,4.8,1.4,Versicolor
6.7,3,5,1.7,Versicolor
6,2.9,4.5,1.5,Versicolor
5.7,2.6,3.5,1,Versicolor
5.5,2.4,3.8,1.1,Versicolor
5.5,2.4,3.7,1,Versicolor
5.8,2.7,3.9,1.2,Versicolor
6,2.7,5.1,1.6,Versicolor
5.4,3,4.5,1.5,Versicolor
6,3.4,4.5,1.6,Versicolor
6.7,3.1,4.7,1.5,Versicolor
6.3,2.3,4.4,1.3,Versicolor
5.6,3,4.1,1.3,Versicolor
5.5,2.5,4,1.3,Versicolor
5.5,2.6,4.4,1.2,Versicolor
6.1,3,4.6,1.4,Versicolor
5.8,2.6,4,1.2,Versicolor
5,2.3,3.3,1,Versicolor
5.6,2.7,4.2,1.3,Versicolor
5.7,3,4.2,1.2,Versicolor
5.7,2.9,4.2,1.3,Versicolor
6.2,2.9,4.3,1.3,Versicolor
5.1,2.5,3,1.1,Versicolor
5.7,2.8,4.1,1.3,Versicolor
6.3,3.3,6,2.5,Virginica
5.8,2.7,5.1,1.9,Virginica
7.1,3,5.9,2.1,Virginica
6.3,2.9,5.6,1.8,Virginica
6.5,3,5.8,2.2,Virginica
7.6,3,6.6,2.1,Virginica
4.9,2.5,4.5,1.7,Virginica
7.3,2.9,6.3,1.8,Virginica
6.7,2.5,5.8,1.8,Virginica
7.2,3.6,6.1,2.5,Virginica
6.5,3.2,5.1,2,Virginica
6.4,2.7,5.3,1.9,Virginica
6.8,3,5.5,2.1,Virginica
5.7,2.5,5,2,Virginica
5.8,2.8,5.1,2.4,Virginica
6.4,3.2,5.3,2.3,Virginica
6.5,3,5.5,1.8,Virginica
7.7,3.8,6.7,2.2,Virginica
7.7,2.6,6.9,2.3,Virginica
6,2.2,5,1.5,Virginica
6.9,3.2,5.7,2.3,Virginica
5.6,2.8,4.9,2,Virginica
7.7,2.8,6.7,2,Virginica
6.3,2.7,4.9,1.8,Virginica
6.7,3.3,5.7,2.1,Virginica
7.2,3.2,6,1.8,Virginica
6.2,2.8,4.8,1.8,Virginica
6.1,3,4.9,1.8,Virginica
6.4,2.8,5.6,2.1,Virginica
7.2,3,5.8,1.6,Virginica
7.4,2.8,6.1,1.9,Virginica
7.9,3.8,6.4,2,Virginica
6.4,2.8,5.6,2.2,Virginica
6.3,2.8,5.1,1.5,Virginica
6.1,2.6,5.6,1.4,Virginica
7.7,3,6.1,2.3,Virginica
6.3,3.4,5.6,2.4,Virginica
6.4,3.1,5.5,1.8,Virginica
6,3,4.8,1.8,Virginica
6.9,3.1,5.4,2.1,Virginica
6.7,3.1,5.6,2.4,Virginica
6.9,3.1,5.1,2.3,Virginica
5.8,2.7,5.1,1.9,Virginica
6.8,3.2,5.9,2.3,Virginica
6.7,3.3,5.7,2.5,Virginica
6.7,3,5.2,2.3,Virginica
6.3,2.5,5,1.9,Virginica
6.5,3,5.2,2,Virginica
6.2,3.4,5.4,2.3,Virginica
5.9,3,5.1,1.8,Virginica
5.1,3.5,1.4,0.265887,Setosa
4.9,3.09637,1.493987,0.105281,Setosa
4.651291,3.108604,1.331868,0.2,Setosa
4.611597,3.177054,1.368021,0.2,Setosa
5,3.424147,1.445022,0.2,Setosa
5.347686,3.751203,1.671595,0.303654,Setosa
4.661059,3.209014,1.372593,0.28098,Setosa
5.001068,3.416104,1.482195,0.25404,Setosa
4.4,2.920628,1.315434,0.2,Setosa
4.876684,3.1,1.503833,0.159238,Setosa
5.42288,3.501624,1.38275,0.2,Setosa
4.762535,3.30733,1.6,0.2,Setosa
4.818354,3.063687,1.427794,0.134091,Setosa
4.349145,3,1.161619,0.171732,Setosa
5.793846,3.964101,1.224248,0.360231,Setosa
5.758782,4.084324,1.290298,0.359073,Setosa
5.190122,3.882563,1.439918,0.307103,Setosa
5.016369,3.51631,1.4,0.299124,Setosa
5.550851,3.708943,1.639153,0.219176,Setosa
5.049051,3.60258,1.484675,0.228943,Setosa
5.4,3.4,1.558446,0.253181,Setosa
5.223429,3.7,1.5,0.385395,Setosa
4.543826,3.343047,1.106002,0.2,Setosa
5.1,3.359863,1.641581,0.237067,Setosa
4.8,3.207449,1.608814,0.2,Setosa
4.822651,3.00437,1.6,0.2,Setosa
5,3.455786,1.6,0.519337,Setosa
5.20619,3.617264,1.5,0.2,Setosa
5.00052,3.4,1.487599,0.2,Setosa
4.821467,3.168458,1.597553,0.2,Setosa
4.684658,3.1,1.595795,0.2,Setosa
5.176989,3.49291,1.441011,0.335599,Setosa
5.145363,3.849344,1.57453,0.136947,Setosa
5.407111,4.140993,1.626394,0.231526,Setosa
4.9,3.095014,1.410369,0.2,Setosa
5,3.209021,1.231663,0.266707,Setosa
5.405531,3.512557,1.409445,0.2,Setosa
4.964534,3.548728,1.4,0.126234,Setosa
4.489937,3.02679,1.48957,0.2,Setosa
5.12881,3.478135,1.5,0.2,Setosa
5.031702,3.5,1.365675,0.3,Setosa
4.671669,2.689177,1.32503,0.115944,Setosa
4.483303,3.1955,1.442967,0.2,Setosa
5.082969,3.5,1.472411,0.50899,Setosa
5.1,3.8,1.726191,0.295721,Setosa
4.837194,3,1.4,0.261127,Setosa
5.1,3.8,1.584378,0.248884,Setosa
4.6,3.205927,1.4,0.227778,Setosa
5.128193,3.709744,1.520538,0.2,Setosa
5.118926,3.380989,1.4,0.2,Setosa
6.989953,3.159256,4.707247,1.465887,Versicolor
6.401835,3.10363,4.687973,1.5,Versicolor
6.802583,3.1,4.868132,1.5,Versicolor
5.5,2.377054,3.802032,1.252976,Versicolor
6.437603,2.887926,4.464934,1.499029,Versicolor
5.7,2.874398,4.457393,1.3,Versicolor
6.116823,3.395493,4.645186,1.6,Versicolor
4.906411,2.4,3.371222,1,Versicolor
6.6,2.920628,4.430869,1.340654,Versicolor
5.269947,2.344036,3.903833,1.340762,Versicolor
5.114401,2.396753,3.61725,1,Versicolor
5.82507,2.953665,4.2,1.411358,Versicolor
5.90823,2.327374,3.944413,1.034091,Versicolor
6.1,2.942878,4.669191,1.4,Versicolor
5.601538,2.792302,3.575752,1.059653,Versicolor
6.641218,2.942162,4.539801,1.379536,Versicolor
5.879838,2.982563,4.5,1.5,Versicolor
5.716369,2.71631,4.1,1.002628,Versicolor
6.311862,2.74634,4.530424,1.5,Versicolor
5.701899,2.59871,3.915325,1.171057,Versicolor
5.950939,3.330863,4.58767,1.746819,Versicolor
5.853142,2.8,4.059144,1.3,Versicolor
6.271913,2.307285,4.758664,1.5,Versicolor
6.064618,2.859863,4.641581,1.462933,Versicolor
6.453976,2.835816,4.591186,1.472652,Versicolor
6.422651,3.008741,4.44577,1.486245,Versicolor
6.791575,2.967357,4.773867,1.459669,Versicolor
6.718571,3.117264,4.829812,1.501392,Versicolor
5.70078,2.829098,4.5,1.32919,Versicolor
5.760734,2.631542,3.509789,1.090202,Versicolor
5.5,2.413107,3.808409,1.264859,Versicolor
5.5,2.49291,3.876968,1.193204,Versicolor
5.745363,2.783552,4.04906,1.236947,Versicolor
6.092889,2.759007,4.722677,1.568474,Versicolor
5.569505,2.990027,4.5,1.441536,Versicolor
6.076213,3.387972,4.531663,1.466585,Versicolor
6.841703,3.106279,4.7,1.492459,Versicolor
6.267733,2.607631,4.352132,1.3,Versicolor
5.6,2.919631,4.194785,1.3,Versicolor
5.5,2.421865,3.806749,1.100695,Versicolor
5.531702,2.674904,4.26865,1.26499,Versicolor
6.271669,3.111193,4.57497,1.492028,Versicolor
5.758349,2.609001,4.071483,1.256908,Versicolor
5.414846,2.360191,3.555179,1,Versicolor
5.679694,2.733507,4.142064,1.3,Versicolor
5.7,2.914287,4.2,1.238873,Versicolor
5.7,2.941617,4.2,1.251116,Versicolor
6.164268,2.9,4.441631,1.355556,Versicolor
5.615421,2.509744,3.102689,1.06053,Versicolor
5.759463,2.719011,3.997014,1.265102,Versicolor
6.3,3.340744,5.985506,2.434113,Virginica
5.800612,2.989111,5.1,1.805281,Virginica
7.002583,3.182793,5.868132,2.173801,Virginica
6.311597,2.745893,5.402032,1.815675,Virginica
6.687192,3.175853,5.845022,2.200485,Virginica
7.652314,3,6.528989,2.196346,Virginica
5.388473,2.5,4.637035,1.757061,Virginica
7.297863,2.916104,6.228778,1.962119,Virginica
6.660937,2.561883,5.630869,1.921962,Virginica
7.083422,3.333027,6.084669,2.5,Virginica
6.54576,3.001624,5.158625,2.288664,Virginica
6.437465,2.839005,5.266639,1.944321,Virginica
6.781646,3,5.416619,2.168183,Virginica
5.749145,2.585757,5.030809,1.928268,Virginica
5.8,2.764101,5.1,1.999421,Virginica
6.458782,3.2,5.160199,2.238609,Virginica
6.430041,2.947689,5.360082,1.892897,Virginica
7.281843,3.767379,6.317502,2.202628,Virginica
7.7,2.964226,6.656611,2.3,Virginica
6.152848,2.792261,5.015325,1.5,Virginica
6.849061,3.2,5.841554,2.3,Virginica
5.723429,2.8,5.018288,2.02921,Virginica
7.7,2.928476,6.487996,2.046492,Virginica
6.229235,2.87959,4.9,1.8,Virginica
6.7,3.171633,5.602938,2.358977,Virginica
7.377349,3.182519,6.04577,1.886245,Virginica
6.191575,2.911571,4.826133,1.8,Virginica
6.11238,2.882736,5.013459,1.601392,Virginica
6.49974,2.941804,5.512401,1.843785,Virginica
6.957066,3,5.792658,1.825504,Virginica
7.284658,2.826214,6.087386,1.652712,Virginica
7.379641,3.242538,6.164043,1.871198,Virginica
6.454637,2.967104,5.74906,2.2,Virginica
6.3,2.740993,5.024535,1.563052,Virginica
6.213003,2.609973,5.151843,1.429232,Virginica
7.395147,2.996993,6.163326,1.966463,Virginica
6.488938,3.393721,5.654722,2.407541,Virginica
6.4,2.894912,5.404265,1.813117,Virginica
6.134905,2.919631,4.894785,1.8,Virginica
6.9,3.1,5.110124,2.299305,Virginica
6.7,3.249808,5.665675,2.46499,Virginica
6.671108,3.044403,5.12503,2.023916,Virginica
5.716697,2.7045,4.957033,1.956908,Virginica
6.717031,3.139809,5.708616,2.330337,Virginica
6.7,3.232986,5.642064,2.44786,Virginica
6.774388,3.085713,5.119292,2.3,Virginica
6.3,2.583235,4.984378,1.851116,Virginica
6.535732,3,5.2,2.083333,Virginica
6.45771,3.361026,5.358925,2.181589,Virginica
5.721611,2.838022,4.997014,1.869796,Virginica
